number,value,datetime_start,datetime_complete,duration,params_activation_fn,params_gae_lambda,params_gamma,params_learning_rate,params_max_grad_norm,params_n_steps,params_net_arch,user_attrs_Model,state
127,545.4054606175981,2022-09-14 00:38:05.727162,2022-09-14 07:28:14.586413,0 days 06:50:08.859251,tanh,0.8,0.9999,0.00033244814335368894,2.0,1024,big,A2C,COMPLETE
128,252.37096271885653,2022-09-14 00:55:17.285596,2022-09-14 09:33:34.248918,0 days 08:38:16.963322,elu,0.92,0.95,0.0012383957109192694,0.6,1024,big,A2C,COMPLETE
129,72.78256081773904,2022-09-14 02:06:28.912584,2022-09-14 10:04:29.183119,0 days 07:58:00.270535,tanh,0.8,0.995,0.0012551076396634389,2.0,32,big,A2C,COMPLETE
130,507.60559709959244,2022-09-14 02:19:43.169517,2022-09-14 10:08:55.612272,0 days 07:49:12.442755,tanh,0.95,0.95,0.0006683906742208519,1.0,1024,big,A2C,COMPLETE
131,278.39251993843027,2022-09-14 02:45:34.690577,2022-09-14 10:11:22.045171,0 days 07:25:47.354594,tanh,0.95,0.95,0.0002251227546056782,0.8,1024,small,A2C,COMPLETE
132,444.61780521594227,2022-09-14 04:33:45.801420,2022-09-14 12:14:05.550063,0 days 07:40:19.748643,tanh,1.0,0.95,0.00028916535366340696,5.0,32,big,A2C,COMPLETE
133,117.59965296356441,2022-09-14 05:12:38.634754,2022-09-14 13:09:19.235708,0 days 07:56:40.600954,tanh,0.95,0.95,0.0045291344328535,1.0,1024,big,A2C,COMPLETE
134,289.6496979518346,2022-09-14 07:28:14.641731,2022-09-14 14:14:54.366733,0 days 06:46:39.725002,tanh,1.0,0.99,0.001048290074580868,0.9,32,big,A2C,COMPLETE
135,213.37074805118885,2022-09-14 08:03:09.142476,2022-09-14 16:36:33.362866,0 days 08:33:24.220390,tanh,0.92,0.95,0.0010049411279247026,0.9,64,medium,A2C,COMPLETE
136,458.8974859462579,2022-09-14 09:33:34.301906,2022-09-14 17:58:08.685699,0 days 08:24:34.383793,tanh,0.92,0.95,0.0001136280398594356,0.5,256,big,A2C,COMPLETE
137,158.22033456563716,2022-09-14 10:04:29.237915,2022-09-14 17:45:54.673956,0 days 07:41:25.436041,tanh,0.8,0.9999,0.00284470945223787,2.0,128,big,A2C,COMPLETE
138,536.6365347109406,2022-09-14 10:08:55.687412,2022-09-14 17:56:03.707877,0 days 07:47:08.020465,tanh,0.8,0.9999,0.0007756401483410422,2.0,256,big,A2C,COMPLETE
